Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,SaleType,SaleCondition,SalePrice,TOTAL_BSMT_SF_SQRT,OPEN_PORCH_SF_SQRT,TOTAL_FLR_SQFT,SOLD_DATE,SOLD_HOW_LONG_AGO,GARAGE_CAPACITY,TOTAL_FLR_SQFT_PER_LOT_AREA
161,20,RL,70.04995836802665,11120,Pave,No,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,1Fam,1Story,6,6,1984,1984,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,PConc,Gd,TA,No,BLQ,660,Unf,0,572,GasA,TA,Y,SBrkr,0,1232,0,0,2,0,3,1,TA,6,Typ,0,No,Attchd,1984.0,Unf,2,516,TA,TA,Y,0,0,0,0,0,No,No,No,0,WD,Normal,162500,35.09985754956849,0.0,1232,2008-06-01,4596,258,0.11079136690647481
162,60,RL,110.0,13688,Pave,No,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,664.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1016,Unf,0,556,GasA,Ex,Y,SBrkr,0,2668,1,0,2,1,3,1,Ex,10,Typ,2,Gd,BuiltIn,2003.0,Fin,3,726,TA,TA,Y,400,0,0,0,0,No,No,No,0,WD,Normal,412500,39.64845520319802,0.0,2668,2008-03-01,4688,242,0.19491525423728814
163,20,RL,95.0,12182,Pave,No,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,226.0,Gd,TA,PConc,Gd,TA,Mn,BLQ,1201,Unf,0,340,GasA,Ex,Y,SBrkr,0,1541,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2005.0,RFn,2,532,TA,TA,Y,0,0,0,0,0,No,No,No,0,New,Partial,220000,39.25557285278104,8.366600265340756,1541,2010-05-01,3897,266,0.12649811196847807
164,45,RL,55.0,5500,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Unf,4,6,1956,1956,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,882,GasA,Ex,Y,SBrkr,0,882,0,0,1,0,1,1,TA,4,Typ,0,No,No,1978.0,No,0,0,No,No,Y,0,0,0,0,0,No,MnPrv,No,0,WD,Normal,103200,29.698484809834994,0.0,882,2007-04-01,5023,0,0.16036363636363637
165,40,RM,40.0,5400,Pave,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,6,7,1926,2004,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,BrkTil,TA,TA,Mn,LwQ,370,Unf,0,779,GasA,Gd,Y,FuseA,0,1616,0,0,2,0,3,1,Gd,5,Typ,0,No,Detchd,1926.0,Unf,1,216,TA,TA,Y,0,183,0,0,0,No,No,No,0,WD,Normal,152000,33.896902513356586,0.0,1616,2007-10-01,4840,216,0.2992592592592593
166,190,RL,62.0,10106,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,2fmCon,1.5Fin,5,7,1940,1999,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,Gd,BrkTil,TA,TA,No,ALQ,351,Rec,181,112,GasA,Gd,Y,SBrkr,0,1355,1,0,2,0,4,2,TA,6,Typ,0,No,No,1978.0,No,0,0,No,No,Y,140,0,0,0,0,No,No,No,0,WD,Normal,127500,25.37715508089904,0.0,1355,2008-09-01,4504,0,0.13407876509004552
167,20,RL,70.04995836802665,10708,Pave,No,IR1,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,1Story,5,5,1955,1993,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,Gd,TA,CBlock,TA,TA,No,LwQ,379,BLQ,768,470,GasA,Ex,Y,FuseA,0,1867,1,0,1,0,2,1,TA,7,Typ,3,Gd,Attchd,1955.0,Fin,1,303,TA,TA,Y,476,0,0,142,0,No,GdWo,No,0,COD,Normal,190000,40.2119385257662,0.0,1867,2009-11-01,4078,303,0.17435562196488608
168,60,RL,86.0,10562,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,300.0,Gd,TA,PConc,Ex,TA,No,GLQ,1288,Unf,0,294,GasA,Ex,Y,SBrkr,0,2161,1,0,1,1,3,1,Ex,8,Typ,1,Gd,Attchd,2007.0,Fin,3,789,TA,TA,Y,178,0,0,0,0,No,No,No,0,New,Partial,325624,39.774363602702685,10.954451150103322,2161,2007-11-01,4809,263,0.2046014012497633
169,60,RL,62.0,8244,Pave,No,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,840,GasA,Ex,Y,SBrkr,0,1720,0,0,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,Fin,2,440,TA,TA,Y,100,0,0,0,0,No,No,No,0,WD,Normal,183500,28.982753492378876,6.928203230275509,1720,2007-05-01,4993,220,0.20863658418243572
170,20,RL,70.04995836802665,16669,Pave,No,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,8,6,1981,1981,Hip,WdShake,Plywood,Plywood,BrkFace,653.0,Gd,TA,CBlock,Gd,TA,No,Unf,0,Unf,0,1686,GasA,TA,Y,SBrkr,0,1707,0,0,2,1,2,1,TA,6,Typ,1,TA,Attchd,1981.0,RFn,2,511,TA,TA,Y,574,0,0,0,0,No,No,No,0,WD,Normal,228000,41.060930335295616,8.0,1707,2006-01-01,5478,255,0.102405663207151
171,50,RM,70.04995836802665,12358,Pave,No,IR1,Lvl,AllPub,Inside,Gtl,OldTown,Feedr,Norm,1Fam,1.5Fin,5,6,1941,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,360,Unf,0,360,GasA,TA,Y,SBrkr,528,1382,0,0,1,1,2,1,TA,7,Typ,0,No,Detchd,1991.0,Unf,2,660,TA,TA,Y,237,0,0,0,0,No,No,No,0,WD,Normal,128500,26.832815729997478,0.0,854,2007-05-01,4993,330,0.06910503317688946
172,20,RL,141.0,31770,Pave,No,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,BrkFace,Plywood,Stone,112.0,TA,TA,CBlock,TA,Gd,Gd,BLQ,639,Unf,0,441,GasA,Fa,Y,SBrkr,0,1656,1,0,1,0,3,1,TA,7,Typ,2,Gd,Attchd,1960.0,Fin,2,528,TA,TA,P,210,0,0,0,0,No,No,No,0,WD,Normal,215000,32.863353450309965,7.874007874011811,1656,2010-05-01,3897,264,0.05212464589235127
173,160,RL,44.0,5306,Pave,No,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,2Story,7,7,1987,1987,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,Gd,PConc,Gd,Gd,No,GLQ,495,Rec,215,354,GasA,Gd,Y,SBrkr,0,1767,1,0,2,0,2,1,Gd,5,Typ,1,TA,Attchd,1987.0,RFn,2,504,Gd,TA,Y,441,0,0,0,0,No,No,No,0,WD,Normal,239000,32.61901286060018,5.916079783099616,1767,2006-06-01,5327,252,0.3330192235205428
174,20,RL,80.0,10197,Pave,No,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1961,1961,Gable,CompShg,WdShing,Wd Shng,BrkCmn,491.0,TA,TA,CBlock,TA,TA,No,ALQ,288,Rec,374,700,GasA,TA,Y,SBrkr,0,1362,1,0,1,1,3,1,TA,6,Typ,1,TA,Attchd,1961.0,Unf,2,504,TA,TA,Y,0,0,0,0,0,No,No,No,0,COD,Normal,163000,36.90528417449187,4.47213595499958,1362,2008-06-01,4596,252,0.1335686966754928
175,20,RL,47.0,12416,Pave,No,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,6,5,1986,1986,Gable,CompShg,VinylSd,Plywood,Stone,132.0,TA,TA,CBlock,Gd,Fa,No,ALQ,1398,LwQ,208,0,GasA,TA,Y,SBrkr,0,1651,1,0,2,0,3,1,TA,7,Min2,1,TA,Attchd,1986.0,Fin,2,616,TA,TA,Y,192,0,0,0,0,No,No,No,0,WD,Normal,184000,40.07492981902776,0.0,1651,2008-11-01,4443,308,0.1329735824742268
176,20,RL,84.0,12615,Pave,No,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,7,1950,2001,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,Gd,Av,ALQ,477,Unf,0,725,GasA,TA,Y,SBrkr,0,2158,1,0,2,0,4,1,Gd,7,Typ,1,Gd,Attchd,1950.0,Unf,2,576,TA,TA,Y,0,39,0,0,0,No,MnPrv,No,0,WD,Normal,243000,34.66987164671943,5.385164807134504,2158,2007-06-01,4962,288,0.17106619104240983
177,60,RL,97.0,10029,Pave,No,IR1,Lvl,AllPub,Corner,Gtl,ClearCr,Norm,Norm,1Fam,2Story,6,5,1988,1989,Gable,CompShg,Plywood,Plywood,BrkFace,268.0,Gd,TA,PConc,Gd,TA,No,GLQ,831,Unf,0,320,GasA,TA,Y,SBrkr,0,2060,0,1,2,1,4,1,TA,8,Typ,1,TA,Attchd,1988.0,Unf,2,521,TA,TA,Y,0,0,0,192,0,No,No,No,0,WD,Normal,211000,33.926390907374746,15.0996688705415,2060,2007-09-01,4870,260,0.20540432745039386
178,50,RL,70.04995836802665,13650,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1.5Fin,5,5,1958,1958,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,Gd,CBlock,TA,TA,No,ALQ,57,BLQ,441,554,GasA,Ex,Y,SBrkr,0,1920,1,0,2,0,4,1,Gd,8,Typ,1,Gd,Attchd,1958.0,Unf,2,451,TA,TA,Y,0,0,0,0,0,No,No,No,0,WD,Normal,172500,32.43454948045371,0.0,1920,2006-07-01,5297,225,0.14065934065934066
179,20,RL,63.0,17423,Pave,No,IR1,Lvl,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,5,2008,2009,Hip,CompShg,VinylSd,VinylSd,Stone,748.0,Ex,TA,PConc,Ex,TA,No,GLQ,1904,Unf,0,312,GasA,Ex,Y,SBrkr,0,2234,1,0,2,0,1,1,Ex,9,Typ,1,Gd,Attchd,2009.0,Fin,3,1166,TA,TA,Y,0,0,0,0,0,No,No,No,0,New,Partial,501837,47.07440918375928,7.745966692414834,2234,2009-07-01,4201,388,0.12822131665040465
180,30,RM,60.0,8520,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,6,1923,2006,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Gd,TA,CBlock,TA,TA,No,Unf,0,Unf,0,968,GasA,TA,Y,SBrkr,0,968,0,0,1,0,2,1,TA,5,Typ,0,No,Detchd,1935.0,Unf,2,480,Fa,TA,N,0,184,0,0,0,No,No,No,0,WD,Normal,100000,31.11269837220809,0.0,968,2007-07-01,4932,240,0.1136150234741784
181,160,FV,70.04995836802665,2117,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,436,Unf,0,320,GasA,Ex,Y,SBrkr,0,1525,0,0,2,1,3,1,Gd,5,Typ,1,TA,Detchd,2000.0,Unf,2,440,TA,TA,Y,0,0,0,0,0,No,No,No,0,WD,Normal,177000,27.49545416973504,0.0,1525,2007-06-01,4962,220,0.7203589985829003
182,70,RL,54.0,7588,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,6,1920,1950,Gable,CompShg,Stucco,Stucco,None,0.0,TA,TA,BrkTil,Fa,TA,No,LwQ,352,Unf,0,441,GasA,Gd,Y,SBrkr,0,1802,0,0,1,1,4,1,TA,9,Typ,1,Gd,Detchd,1920.0,Unf,1,216,Fa,TA,Y,0,40,0,0,0,No,No,No,0,WD,Normal,200100,28.160255680657446,0.0,1802,2006-07-01,5297,216,0.2374802319451766
183,20,RL,60.0,9060,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Norm,1Fam,1Story,5,6,1957,2006,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,98.0,TA,TA,PConc,No,No,No,No,0,No,0,0,GasA,Ex,Y,SBrkr,0,1340,0,0,1,0,3,1,TA,7,Typ,1,Gd,Attchd,1957.0,RFn,1,252,TA,TA,Y,116,0,180,0,0,No,MnPrv,No,0,WD,Normal,120000,0.0,0.0,1340,2007-06-01,4962,252,0.1479028697571744
184,50,RM,63.0,11426,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1362,GasA,Ex,Y,SBrkr,0,2082,0,0,2,1,3,1,Gd,6,Mod,0,No,Detchd,2003.0,Unf,2,484,TA,TA,N,280,0,0,0,0,No,No,No,0,WD,Normal,200000,36.90528417449187,15.427248620541512,2082,2008-06-01,4596,242,0.18221599859968493
185,50,RL,92.0,7438,Pave,No,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Feedr,1Fam,1.5Fin,5,8,1908,1991,Gable,CompShg,AsbShng,Plywood,None,0.0,TA,TA,PConc,Fa,TA,No,Unf,0,Unf,0,504,GasA,Gd,Y,SBrkr,0,1252,0,0,1,0,3,1,TA,5,Typ,0,No,Attchd,1986.0,Unf,2,576,TA,TA,Y,104,0,0,0,0,No,MnPrv,No,0,WD,Normal,127000,22.44994432064365,0.0,1252,2006-06-01,5327,288,0.16832481849959666
186,75,RM,90.0,22950,Pave,No,IR2,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,2.5Fin,10,9,1892,1993,Gable,WdShngl,Wd Sdng,Wd Sdng,None,0.0,Gd,Gd,BrkTil,TA,TA,Mn,Unf,0,Unf,0,1107,GasA,Ex,Y,SBrkr,572,3608,0,0,2,1,4,1,Ex,12,Typ,2,TA,Detchd,1993.0,Unf,3,840,Ex,TA,Y,0,0,0,410,0,No,GdPrv,No,0,WD,Normal,475000,33.27160951922825,16.1245154965971,3036,2006-06-01,5327,280,0.1322875816993464
187,80,RL,70.04995836802665,9947,Pave,No,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,7,5,1990,1991,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,611,Unf,0,577,GasA,Ex,Y,SBrkr,0,1217,1,0,2,0,3,1,Gd,6,Typ,0,No,Attchd,1990.0,Unf,2,497,TA,TA,Y,168,0,0,0,0,No,GdPrv,No,0,WD,Normal,173000,34.46737587922817,5.196152422706632,1217,2009-06-01,4231,248,0.12234844676786971
188,50,RL,60.0,10410,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1916,1987,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Fa,TA,No,Unf,0,Unf,0,660,GasA,Ex,Y,SBrkr,144,1656,0,0,2,1,3,1,TA,8,Min2,0,No,Detchd,1916.0,Unf,1,180,Fa,Fa,N,0,0,140,0,0,No,MnPrv,No,0,WD,Normal,135000,25.69046515733026,0.0,1512,2009-08-01,4170,180,0.1452449567723343
189,90,RL,64.0,7018,Pave,No,Reg,Bnk,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,SFoyer,5,5,1979,1979,Gable,CompShg,Plywood,Plywood,Stone,275.0,TA,TA,CBlock,Gd,TA,Av,GLQ,1086,Unf,0,0,GasA,TA,Y,SBrkr,0,1224,2,0,0,2,2,2,TA,6,Typ,2,TA,Detchd,1979.0,Unf,2,528,TA,TA,Y,120,0,0,0,0,No,No,No,0,WD,Alloca,153337,32.95451410656816,0.0,1224,2009-06-01,4231,264,0.1744086634368766
190,120,RL,41.0,4923,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001,2002,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1153,Unf,0,440,GasA,Ex,Y,SBrkr,0,1593,1,0,1,1,0,1,Ex,5,Typ,1,Gd,Attchd,2001.0,Fin,2,682,TA,TA,Y,0,0,0,224,0,No,No,No,0,WD,Normal,286000,39.91240408695021,10.954451150103322,1593,2008-08-01,4535,341,0.3235831809872029
191,70,RL,70.0,10570,Pave,No,Reg,Bnk,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,8,1932,1994,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,TA,CBlock,Gd,Gd,No,Rec,297,Unf,0,556,GasA,TA,Y,SBrkr,0,2727,0,0,2,1,3,1,Gd,10,Maj1,2,TA,Detchd,1932.0,Unf,2,440,TA,TA,Y,0,0,0,0,0,No,No,No,0,WD,Normal,315000,29.206163733020468,8.602325267042627,2727,2007-12-01,4779,220,0.25799432355723745
192,60,RL,70.04995836802665,7472,Pave,No,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,2Story,7,9,1972,2004,Gable,CompShg,HdBoard,HdBoard,BrkFace,138.0,TA,TA,CBlock,TA,TA,No,ALQ,626,Unf,0,99,GasA,Gd,Y,SBrkr,0,1479,1,0,1,1,4,1,Gd,7,Typ,0,No,Attchd,1972.0,Fin,2,484,TA,TA,Y,0,0,0,0,0,No,No,No,0,WD,Normal,184000,26.92582403567252,5.656854249492381,1479,2007-06-01,4962,242,0.1979389721627409
193,20,RL,68.0,9017,Pave,No,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,560,Unf,0,871,GasA,Ex,Y,SBrkr,0,1431,1,0,2,0,3,1,Gd,6,Typ,0,No,Attchd,1999.0,Fin,2,666,TA,TA,Y,0,0,0,0,0,No,No,No,0,WD,Normal,192000,37.82856063875548,5.916079783099616,1431,2009-09-01,4139,333,0.15870023289342353
194,160,RM,24.0,2522,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Twnhs,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Stone,50.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,970,GasA,Ex,Y,SBrkr,0,1709,0,0,2,0,3,1,Gd,7,Maj1,0,No,Detchd,2004.0,Unf,2,380,TA,TA,Y,0,0,0,0,0,No,No,No,0,WD,Normal,130000,31.144823004794873,6.324555320336759,1709,2006-05-01,5358,190,0.6776367961934973
195,20,RL,60.0,7180,Pave,No,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,390,Unf,0,474,GasA,TA,Y,SBrkr,0,864,0,0,1,0,3,1,TA,5,Typ,0,No,Detchd,1989.0,Unf,1,352,TA,TA,Y,0,0,0,0,0,No,No,No,0,WD,Normal,127000,29.393876913398138,0.0,864,2008-05-01,4627,352,0.1203342618384401
196,160,RL,24.0,2280,Pave,No,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1976,1976,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,566,Unf,0,289,GasA,TA,Y,SBrkr,0,1456,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1976.0,Unf,2,440,TA,TA,Y,87,0,0,0,0,No,No,No,0,WD,Normal,148500,29.24038303442689,0.0,1456,2009-07-01,4201,220,0.6385964912280702
197,20,RL,79.0,9416,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2007,2007,Hip,CompShg,CemntBd,CmentBd,Stone,205.0,Ex,TA,PConc,Ex,TA,No,GLQ,1126,Unf,0,600,GasA,Ex,Y,SBrkr,0,1726,1,0,2,0,3,1,Ex,8,Typ,1,Gd,Attchd,2007.0,Fin,3,786,TA,TA,Y,171,0,0,266,0,No,No,No,0,New,Partial,311872,41.54515615568198,11.74734012447073,1726,2007-09-01,4870,262,0.18330501274426508
198,75,RL,174.0,25419,Pave,No,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,2Story,8,4,1918,1990,Gable,CompShg,Stucco,Stucco,None,0.0,Gd,Gd,PConc,TA,TA,No,GLQ,1036,LwQ,184,140,GasA,Gd,Y,SBrkr,392,3112,1,1,2,0,4,1,Gd,8,Typ,1,Ex,Detchd,1918.0,Unf,2,795,TA,TA,Y,0,552,0,0,512,Ex,GdPrv,No,0,WD,Abnorml,235000,36.87817782917155,4.0,2720,2006-03-01,5419,397,0.10700656988866596
199,75,RM,92.0,5520,Pave,No,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2.5Fin,6,6,1912,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,755,GasA,Ex,Y,SBrkr,371,2229,0,0,1,0,5,1,TA,8,Typ,0,No,No,1978.0,No,0,0,No,No,Y,0,30,0,0,0,No,MnPrv,No,0,WD,Abnorml,104000,27.477263328068172,14.071247279470288,1858,2009-07-01,4201,0,0.33659420289855074
200,20,RL,76.0,9591,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2004,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,262.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1088,Unf,0,625,GasA,Ex,Y,SBrkr,0,1713,1,0,2,0,3,1,Ex,7,Typ,1,Gd,Attchd,2004.0,Fin,3,856,TA,TA,Y,0,0,0,170,0,No,No,No,0,WD,Normal,274900,41.38840417314975,5.0990195135927845,1713,2009-01-01,4382,285,0.17860494213324993
201,20,RM,80.0,8546,Pave,No,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1121,GasA,Ex,Y,SBrkr,0,1121,0,0,2,0,2,1,TA,5,Typ,0,No,Attchd,2003.0,RFn,2,440,TA,TA,Y,132,0,0,0,0,No,No,No,0,WD,Normal,140000,33.481338085566414,8.0,1121,2010-03-01,3958,220,0.13117247835244558
202,20,RL,75.0,10125,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,6,6,1977,1977,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,641,LwQ,279,276,GasA,TA,Y,SBrkr,0,1279,0,1,2,0,3,1,TA,6,Typ,2,Fa,Detchd,1980.0,Unf,2,473,TA,TA,Y,238,0,0,0,0,No,MnPrv,No,0,WD,Normal,171500,34.583232931581165,9.1104335791443,1279,2008-02-01,4717,236,0.12632098765432098
203,50,RL,50.0,7000,Pave,No,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,6,6,1924,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,BrkTil,Fa,TA,No,LwQ,617,Unf,0,0,GasA,Gd,Y,SBrkr,0,1310,0,0,2,0,2,1,TA,6,Min1,0,No,Attchd,1924.0,Unf,1,398,TA,TA,Y,0,126,0,0,0,No,No,No,0,COD,Normal,112000,24.839484696748443,0.0,1310,2006-05-01,5358,398,0.18714285714285714
204,120,RM,70.04995836802665,4438,Pave,No,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,205.0,Gd,TA,PConc,Gd,TA,Av,GLQ,662,Unf,0,186,GasA,Ex,Y,SBrkr,0,848,1,0,1,0,1,1,Gd,3,Typ,1,Gd,Attchd,2004.0,RFn,2,420,TA,TA,Y,149,0,0,0,0,No,No,No,0,WD,Normal,149000,29.120439557122072,0.0,848,2008-01-01,4748,210,0.1910770617395223
205,50,RM,50.0,3500,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1947,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,312,Unf,0,408,GasA,TA,Y,SBrkr,0,1284,0,0,1,1,2,1,TA,5,Typ,0,No,Detchd,1948.0,Unf,1,240,TA,TA,Y,0,0,0,0,0,No,MnWw,No,0,WD,Normal,110000,26.832815729997478,5.916079783099616,1284,2009-04-01,4292,240,0.3668571428571429
206,20,RL,99.0,11851,Pave,No,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1424,GasA,Ex,Y,SBrkr,0,1442,0,0,2,0,3,1,TA,5,Typ,0,No,Attchd,1990.0,RFn,2,500,TA,TA,Y,0,0,508,0,0,No,No,No,0,WD,Normal,180500,37.73592452822641,5.830951894845301,1442,2009-05-01,4262,250,0.12167749556999409
207,20,RL,40.0,13673,Pave,No,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,5,1962,1962,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0,Unf,0,1140,GasA,TA,Y,SBrkr,0,1696,0,0,1,1,3,1,TA,8,Min2,1,TA,Attchd,1962.0,RFn,1,349,TA,TA,Y,0,0,0,0,0,No,No,No,0,WD,Normal,143900,33.76388603226827,5.477225575051661,1696,2007-03-01,5054,349,0.12404007898778614
